1,Red Bull Racing Honda RBPT,321
2,Mercedes,167
3,Aston Martin Aramco Mercedes,154
4,Ferrari,122
5,Alpine Renault,44
6,McLaren Mercedes,17
7,Alfa Romeo Ferrari,9
8,Haas Ferrari,8
9,Williams Mercedes,7
10,AlphaTauri Honda RBPT,2
1,Red Bull Racing Honda RBPT,321
2,Mercedes,167
3,Aston Martin Aramco Mercedes,154
4,Ferrari,122
5,Alpine Renault,44
6,McLaren Mercedes,17
7,Alfa Romeo Ferrari,9
8,Haas Ferrari,8
9,Williams Mercedes,7
10,AlphaTauri Honda RBPT,2
1,Red Bull Racing Honda RBPT,321
3,Aston Martin Aramco Mercedes,154
2,Mercedes,167
4,Ferrari,122
6,McLaren Mercedes,17
5,Alpine Renault,44
7,Alfa Romeo Ferrari,9
8,Haas Ferrari,8
9,Williams Mercedes,7
10,AlphaTauri Honda RBPT,2
1,Red Bull Racing Honda RBPT,321
2,Mercedes,167
3,Aston Martin Aramco Mercedes,154
4,Ferrari,122
5,Alpine Renault,44
6,McLaren Mercedes,17
7,Alfa Romeo Ferrari,9
8,Haas Ferrari,8
9,Williams Mercedes,7
10,AlphaTauri Honda RBPT,2
1,Red Bull Racing Honda RBPT,321
3,Aston Martin Aramco Mercedes,154
2,Mercedes,167
4,Ferrari,122
5,Alpine Renault,44
6,McLaren Mercedes,17
7,Alfa Romeo Ferrari,9
8,Haas Ferrari,8
9,Williams Mercedes,7
10,AlphaTauri Honda RBPT,2
1,Red Bull Racing Honda RBPT,321
2,Mercedes,167
3,Aston Martin Aramco Mercedes,154
4,Ferrari,122
5,Alpine Renault,44
6,McLaren Mercedes,17
7,Alfa Romeo Ferrari,9
8,Haas Ferrari,8
9,Williams Mercedes,7
10,AlphaTauri Honda RBPT,2
